Top Activated Brain Regions
==================================================

Rank   Index    Activation  
--------------------------
1      846      0.013636    
2      785      0.012307    
3      707      0.011819    
4      780      0.011548    
5      781      0.011429    
6      598      0.010430    
7      845      0.010220    
8      171      0.010200    
9      832      0.010062    
10     22       0.009722    
11     840      0.009633    
12     835      0.009629    
13     709      0.009364    
14     122      0.009253    
15     708      0.009160    
16     595      0.009084    
17     887      0.009037    
18     169      0.008842    
19     71       0.008841    
20     841      0.008694    
21     212      0.008677    
22     72       0.008666    
23     73       0.008645    
24     172      0.008410    
25     674      0.008383    
26     70       0.008335    
27     847      0.008202    
28     585      0.008181    
29     686      0.008137    
30     884      0.008134    
31     779      0.008021    
32     879      0.008003    
33     839      0.007998    
34     176      0.007987    
35     826      0.007959    
36     885      0.007950    
37     109      0.007948    
38     53       0.007933    
39     729      0.007925    
40     120      0.007859    
41     81       0.007826    
42     66       0.007815    
43     886      0.007808    
44     20       0.007768    
45     914      0.007734    
46     451      0.007643    
47     463      0.007616    
48     834      0.007588    
49     42       0.007579    
50     823      0.007578    
51     716      0.007571    
52     41       0.007570    
53     882      0.007519    
54     245      0.007474    
55     44       0.007431    
56     238      0.007429    
57     553      0.007410    
58     827      0.007365    
59     683      0.007338    
60     828      0.007319    
61     75       0.007267    
62     617      0.007261    
63     433      0.007222    
64     218      0.007158    
65     838      0.007137    
66     848      0.007110    
67     429      0.007103    
68     422      0.007088    
69     626      0.007075    
70     98       0.007053    
